Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Nynorsk	Bokmål	Engelsk
1874	Helle	60	Moskenes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Moskenes/Helle/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Moskenes/Helle/varsel.xml	http://www.yr.no/place/Norway/Nordland/Moskenes/Helle/varsel.xml
1874	Kjerkfjorden	60	Moskenes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Moskenes/Kjerkfjorden/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Moskenes/Kjerkfjorden/varsel.xml	http://www.yr.no/place/Norway/Nordland/Moskenes/Kjerkfjorden/varsel.xml
1874	Vindstad	60	Moskenes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Moskenes/Vindstad/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Moskenes/Vindstad/varsel.xml	http://www.yr.no/place/Norway/Nordland/Moskenes/Vindstad/varsel.xml
1874	Sørvågen	50	Moskenes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Moskenes/Sørvågen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Moskenes/Sørvågen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Moskenes/Sørvågen/varsel.xml
1901	Harstad	25	Harstad	Troms	http://www.yr.no/stad/Noreg/Troms/Harstad/Harstad/varsel.xml	http://www.yr.no/sted/Norge/Troms/Harstad/Harstad/varsel.xml	http://www.yr.no/place/Norway/Troms/Harstad/Harstad/varsel.xml
1901	Elgsnes	60	Harstad	Troms	http://www.yr.no/stad/Noreg/Troms/Harstad/Elgsnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Harstad/Elgsnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Harstad/Elgsnes/varsel.xml
1901	Grøtavær	50	Harstad	Troms	http://www.yr.no/stad/Noreg/Troms/Harstad/Grøtavær/varsel.xml	http://www.yr.no/sted/Norge/Troms/Harstad/Grøtavær/varsel.xml	http://www.yr.no/place/Norway/Troms/Harstad/Grøtavær/varsel.xml
1901	Lundenes	50	Harstad	Troms	http://www.yr.no/stad/Noreg/Troms/Harstad/Lundenes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Harstad/Lundenes/varsel.xml	http://www.yr.no/place/Norway/Troms/Harstad/Lundenes/varsel.xml
1901	Kjøtta	50	Harstad	Troms	http://www.yr.no/stad/Noreg/Troms/Harstad/Kjøtta/varsel.xml	http://www.yr.no/sted/Norge/Troms/Harstad/Kjøtta/varsel.xml	http://www.yr.no/place/Norway/Troms/Harstad/Kjøtta/varsel.xml
1902	Tromsø	10	Tromsø	Troms	http://www.yr.no/stad/Noreg/Troms/Tromsø/Tromsø/varsel.xml	http://www.yr.no/sted/Norge/Troms/Tromsø/Tromsø/varsel.xml	http://www.yr.no/place/Norway/Troms/Tromsø/Tromsø/varsel.xml
1902	Oldervik	50	Tromsø	Troms	http://www.yr.no/stad/Noreg/Troms/Tromsø/Oldervik/varsel.xml	http://www.yr.no/sted/Norge/Troms/Tromsø/Oldervik/varsel.xml	http://www.yr.no/place/Norway/Troms/Tromsø/Oldervik/varsel.xml
1902	Sommarøy	50	Tromsø	Troms	http://www.yr.no/stad/Noreg/Troms/Tromsø/Sommarøy/varsel.xml	http://www.yr.no/sted/Norge/Troms/Tromsø/Sommarøy/varsel.xml	http://www.yr.no/place/Norway/Troms/Tromsø/Sommarøy/varsel.xml
1902	Tromvik	50	Tromsø	Troms	http://www.yr.no/stad/Noreg/Troms/Tromsø/Tromvik/varsel.xml	http://www.yr.no/sted/Norge/Troms/Tromsø/Tromvik/varsel.xml	http://www.yr.no/place/Norway/Troms/Tromsø/Tromvik/varsel.xml
1902	Vengsøy	50	Tromsø	Troms	http://www.yr.no/stad/Noreg/Troms/Tromsø/Vengsøy/varsel.xml	http://www.yr.no/sted/Norge/Troms/Tromsø/Vengsøy/varsel.xml	http://www.yr.no/place/Norway/Troms/Tromsø/Vengsøy/varsel.xml
1911	Borkenes	30	Kvæfjord	Troms	http://www.yr.no/stad/Noreg/Troms/Kvæfjord/Borkenes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Kvæfjord/Borkenes/varsel.xml	http://www.yr.no/place/Norway/Troms/Kvæfjord/Borkenes/varsel.xml
1911	Bremnes	60	Kvæfjord	Troms	http://www.yr.no/stad/Noreg/Troms/Kvæfjord/Bremnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Kvæfjord/Bremnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Kvæfjord/Bremnes/varsel.xml
1911	Flesnes	60	Kvæfjord	Troms	http://www.yr.no/stad/Noreg/Troms/Kvæfjord/Flesnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Kvæfjord/Flesnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Kvæfjord/Flesnes/varsel.xml
1911	Gullesfjorden	50	Kvæfjord	Troms	http://www.yr.no/stad/Noreg/Troms/Kvæfjord/Gullesfjorden/varsel.xml	http://www.yr.no/sted/Norge/Troms/Kvæfjord/Gullesfjorden/varsel.xml	http://www.yr.no/place/Norway/Troms/Kvæfjord/Gullesfjorden/varsel.xml
1913	Evenskjer	30	Skånland	Troms	http://www.yr.no/stad/Noreg/Troms/Skånland/Evenskjer/varsel.xml	http://www.yr.no/sted/Norge/Troms/Skånland/Evenskjer/varsel.xml	http://www.yr.no/place/Norway/Troms/Skånland/Evenskjer/varsel.xml
1913	Sandstrand	60	Skånland	Troms	http://www.yr.no/stad/Noreg/Troms/Skånland/Sandstrand/varsel.xml	http://www.yr.no/sted/Norge/Troms/Skånland/Sandstrand/varsel.xml	http://www.yr.no/place/Norway/Troms/Skånland/Sandstrand/varsel.xml
1913	Øyvatn	60	Skånland	Troms	http://www.yr.no/stad/Noreg/Troms/Skånland/Øyvatn/varsel.xml	http://www.yr.no/sted/Norge/Troms/Skånland/Øyvatn/varsel.xml	http://www.yr.no/place/Norway/Troms/Skånland/Øyvatn/varsel.xml
1913	Grovfjord	50	Skånland	Troms	http://www.yr.no/stad/Noreg/Troms/Skånland/Grovfjord/varsel.xml	http://www.yr.no/sted/Norge/Troms/Skånland/Grovfjord/varsel.xml	http://www.yr.no/place/Norway/Troms/Skånland/Grovfjord/varsel.xml
1913	Tovik	50	Skånland	Troms	http://www.yr.no/stad/Noreg/Troms/Skånland/Tovik/varsel.xml	http://www.yr.no/sted/Norge/Troms/Skånland/Tovik/varsel.xml	http://www.yr.no/place/Norway/Troms/Skånland/Tovik/varsel.xml
1915	Bjarkøy	30	Bjarkøy	Troms	http://www.yr.no/stad/Noreg/Troms/Bjarkøy/Bjarkøy/varsel.xml	http://www.yr.no/sted/Norge/Troms/Bjarkøy/Bjarkøy/varsel.xml	http://www.yr.no/place/Norway/Troms/Bjarkøy/Bjarkøy/varsel.xml
1915	Akkarnes	60	Bjarkøy	Troms	http://www.yr.no/stad/Noreg/Troms/Bjarkøy/Akkarnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Bjarkøy/Akkarnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Bjarkøy/Akkarnes/varsel.xml
1915	Fenes	60	Bjarkøy	Troms	http://www.yr.no/stad/Noreg/Troms/Bjarkøy/Fenes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Bjarkøy/Fenes/varsel.xml	http://www.yr.no/place/Norway/Troms/Bjarkøy/Fenes/varsel.xml
